business name,distance in miles,phone number,category,address,address 2,address 3,city,state,zip
Anchorage Midtown Dental Center,1.44,+19075626456,"Cosmetic Dentists,General Dentistry",2805 Dawson St,Ste 101,,Anchorage,AK,99503
Huffman Family Dentistry,4.69,+19073457722,"General Dentistry,Cosmetic Dentists",12350 Industry Way,,,Anchorage,AK,99515
bty DENTAL,2.52,+19073336666,General Dentistry,726 E 9th Ave,,,Anchorage,AK,99501
Healthy Smiles Dental,4.8,+19073413139,"Cosmetic Dentists,General Dentistry,Pediatric Dentists",12501 Old Seward Hwy,Ste C,,Anchorage,AK,99515
Alaska Premier Dental Group,4.41,+19073370404,"General Dentistry,Cosmetic Dentists,Periodontists",6611 DeBarr Rd,,Ste 100 & 200,Anchorage,AK,99504
Murphy Family Dental,0.35,+19075614047,General Dentistry,330 E Tudor Rd,,,Anchorage,AK,99503
"Richard Crosby, DDS",1.09,+19072771098,"General Dentistry,Cosmetic Dentists",3111 Denali St,,,Anchorage,AK,99503
"Julie A Veerman, DDS, LLC",1.06,+19073368772,General Dentistry,3909 Arctic Blvd,Ste 205,,Anchorage,AK,99503
Alaska Dental Arts,0.88,+19075618573,"Cosmetic Dentists,General Dentistry",3401 Denali St,Ste 201,,Anchorage,AK,99503
Mint Dental,1.32,+19076468672,"Cosmetic Dentists,General Dentistry,Endodontists",2665 E Tudor Rd,Ste 300,,Anchorage,AK,99507
Health Centered Dentistry,1.72,+19072764537,"Oral Surgeons,General Dentistry,Cosmetic Dentists",1400 W Benson Blvd,Ste 150,,Anchorage,AK,99503
Bright Smiles Dental - Southside,2.92,+19072744746,"General Dentistry,Cosmetic Dentists",9138 Arlon St,Ste B1,,Anchorage,AK,99507
"Mark R Laurin, DDS",2.18,+19073496522,"Orthodontists,General Dentistry",8301 Briarwood St,Ste 201,,Anchorage,AK,99518
Turnagain Dental,2.04,+19072726122,"General Dentistry,Cosmetic Dentists,Dental Hygienists",1842 W Northern Lights Blvd,,,Anchorage,AK,99517
Excellence In Dentistry,3.77,+19073490022,"Cosmetic Dentists,General Dentistry,Endodontists",1000 E O'Malley Rd,Ste 101,,Anchorage,AK,99515
Alaska Advanced Dentistry,1.32,+19075223633,"General Dentistry,Orthodontists,Cosmetic Dentists",6917 Old Seward Hwy,,,Anchorage,AK,99518
bty DENTAL,1.21,+19073336666,"General Dentistry,Cosmetic Dentists",3565 Arctic Blvd,Unit D1-2,,Anchorage,AK,99503
"Brett M Gardiner, DDS",0.48,+19075613639,"General Dentistry,Endodontists,Cosmetic Dentists",4000 Old Seward Hwy,Ste 100,,Anchorage,AK,99503
Abbott Family Dentistry,2.27,+19073368478,"General Dentistry,Oral Surgeons,Endodontists",1601 Abbott Rd,Ste 102,,Anchorage,AK,99507
South Anchorage Dental Center,3.85,+19072487275,"General Dentistry,Orthodontists,Cosmetic Dentists",9170 Jewel Lake Rd,Ste 201,,Anchorage,AK,99502
Anchorage btyDENTAL,3.03,+19073336666,"Cosmetic Dentists,General Dentistry",1921 W Dimond Blvd,Ste 101,,Anchorage,AK,99515
The Libby Group,1.18,+19072742659,"Oral Surgeons,Cosmetic Dentists,General Dentistry",3920 Lake Otis Pkwy,,,Anchorage,AK,99508
Advanced Family Dental Care,0.91,+19075611330,"Cosmetic Dentists,General Dentistry",3500 Latouche St,,,Anchorage,AK,99508
Family First Dentistry,1.12,+19075622820,"Cosmetic Dentists,Orthodontists,General Dentistry",4050 Lake Otis Pkwy,,,Anchorage,AK,99508
"Timothy M Lethin, DDS, PC",3.37,+19073379474,General Dentistry,2601 Boniface Pkwy,Ste 2,,Anchorage,AK,99504
Frost Dental,3.35,+19073125479,"General Dentistry,Cosmetic Dentists,Endodontists",3024 Mountain View Dr,,,Anchorage,AK,99501
Miller Debra L DMD,3.39,+19072486066,General Dentistry,2700 W Dimond Blvd,,,Anchorage,AK,99502
"Terry J Preece, DDS-Healthy Smiles Dental",4.8,+19072223242,"Cosmetic Dentists,General Dentistry,Endodontists",12501 Old Seward Hwy,Ste C,,Anchorage,AK,99515
"Spalding Dental, LLC",1.4,+19072766288,"General Dentistry,Cosmetic Dentists",2525 Gambell St,Ste 304,,Anchorage,AK,99503
Pauli Richard S DDS,0.91,+19075611330,General Dentistry,3500 Latouche St,Ste 210,,Anchorage,AK,99508
Alaska Smiles,2.28,+19072786684,"Cosmetic Dentists,General Dentistry",1000 E Dimond Blvd,Ste 210,,Anchorage,AK,99515
"Easley Kevin M, DMD",1.77,+19072480022,"General Dentistry,Cosmetic Dentists,Sleep Specialists",3003 Minnesota Dr,Ste 200,,Anchorage,AK,99503
Glacier Dental,1.2,+19072226000,Dentists,2421 E Tudor Rd,Ste 101,,Anchorage,AK,99507
AIDEA,1.71,+19072581515,"Oral Surgeons,General Dentistry",1407 W 31st Ave,Ste 601,,Anchorage,AK,99503
Alaska Dental Associates,1.35,+19075622284,"General Dentistry,Cosmetic Dentists,Pediatric Dentists",2702 Denali St,Ste 201,,Anchorage,AK,99503
Dimond Family Dental Center,2.28,+19073445544,"General Dentistry,Oral Surgeons,Endodontists",1000 E Dimond Blvd,Ste 205,,Anchorage,AK,99515
Alaska Dental Care,0.48,+19075613639,"General Dentistry,Cosmetic Dentists,Periodontists",4000 Old Seward Hwy,Ste 200,,Anchorage,AK,99503
bty Dental,2.02,+19073336666,"General Dentistry,Cosmetic Dentists",1818 West Northern Lights Blvd,,,Anchorage,AK,99517
"Charles  Michael, DDS",1.4,+19078853666,"General Dentistry,Cosmetic Dentists,Teeth Whitening",2525 Gambell St,Ste 304,,Anchorage,AK,99503
Kennedy Dental Group,0.9,+19072775684,"General Dentistry,Cosmetic Dentists,Dental Hygienists",625 E 34th Ave,Ste 301,,Anchorage,AK,99503
bty DENTAL,5.58,+19073336666,"General Dentistry,Cosmetic Dentists",1136 N Muldoon Rd,Ste 110,,Anchorage,AK,99504
Northstar Dental,2.26,+19079291728,"Cosmetic Dentists,Oral Surgeons,Endodontists",1000 E Dimond,Ste 200,,Anchorage,AK,99515
"Devin Johnson, DMD MS - Northern Smiles Orthodontics",2.83,+19075611902,Orthodontists,2000 Abbott Rd,Ste 202,,Anchorage,AK,99507
Gregorin Dental,5.06,+19073335522,"General Dentistry,Cosmetic Dentists,Pediatric Dentists",7985 E 16th Ave,Ste 300,,Anchorage,AK,99504
Anchorage Dental Arts,1.41,+19072761712,"General Dentistry,Cosmetic Dentists,Orthodontists",2600 Cordova St,Ste 200,,Anchorage,AK,99503
"Ken Wynne DMD, Dimond Family Dental Center",2.28,+19073445544,General Dentistry,1000 E Dimond Blvd,Ste 205,,Anchorage,AK,99515
Fresh Dental Care,1.82,+19072761050,"General Dentistry,Cosmetic Dentists",900 W Fireweed Ln,,,Anchorage,AK,99503
North Pacific Endodontics,1.32,+19075610675,Endodontists,4001 Laurel St,Ste 208,,Anchorage,AK,99508
"J. Bryson McBratney, DDS",1.34,+19075623323,"General Dentistry,Cosmetic Dentists,Periodontists",6200 Lake Otis Pkwy,Ste 101,,Anchorage,AK,99507
Foothills Dentistry- Anchorage,2.18,+19072809585,"General Dentistry,Periodontists,Cosmetic Dentists",8301 Briarwood St,Ste 202,,Anchorage,AK,99518
Fireweed Family Dentistry,1.93,+19072796000,"General Dentistry,Cosmetic Dentists",1113 W Fireweed Ln,Ste 101,,Anchorage,AK,99503
Anchorage Pediatric Dentistry,1.1,+19075621003,Pediatric Dentists,4200 Lake Otis Pkwy,Ste 102,Anchorage Pediatric Dentistry,Anchorage,AK,99508
Century Dental Center,0.84,+19075612475,"General Dentistry,Endodontists,Cosmetic Dentists",3501 Denali St,Ste 302,,Anchorage,AK,99503
Peak Health Dentistry at GentleCare,4.41,+19073370304,"Cosmetic Dentists,General Dentistry,Oral Surgeons",6611 DeBarr Rd,Ste 101,,Anchorage,AK,99504
Yuknis Leonard DDS,3.37,+19073339591,Oral Surgeons,2601 Boniface Pkwy,,,Anchorage,AK,99504
Mabry Lara DDS,3.37,+19073379448,Dentists,2601 Boniface Pkwy,,,Anchorage,AK,99504
Artistic Dentistry,2.86,+19073441990,"General Dentistry,Cosmetic Dentists,Endodontists",2020 Abbott Rd,Ste 5,,Anchorage,AK,99507
bty DENTAL,2.92,+19073336666,"General Dentistry,Cosmetic Dentists,Periodontists",9138 Arlon St,,,Anchorage,AK,99507
Four Corners Dental Group: Anchorage,3.05,+19072583384,"General Dentistry,Cosmetic Dentists,Endodontists",3901 Raspberry Rd,,,Anchorage,AK,99502
Alcan Dental Group,1.42,+19075624774,"Cosmetic Dentists,General Dentistry,Pediatric Dentists",2819 Dawson St,,,Anchorage,AK,99503
Wrigley Deborah E DDS,3.37,+19073339591,General Dentistry,2601 Boniface Pkwy,,,Anchorage,AK,99504
Whole Family Dental,2.85,+19072767787,General Dentistry,880 N St,,,Anchorage,AK,99501
"Darin Anderson, DDS",2.32,+19073493636,Endodontists,800 E Dimond Blvd,Ste 3-600,,Anchorage,AK,99515
Denali Pediatric Dentistry,1.37,+19073349543,Pediatric Dentists,2600 Denali St,Ste 500,,Anchorage,AK,99503
